.ac,google.ac
.ad,andorra.ad
.ae,dubaitourism.ae


.br.com,
.cn.com,
.de.com,
.eu.com,
.gb.com,
.gb.net,
.hu.com,
.no.com,
.qc.com,
.ru.com,
.sa.com,
.se.com,
.se.net,
.uk.com,
.uk.net,
.us.com,
.uy.com,
.za.com,
.jpn.com,
.web.com,
.com,google.com
.za.net,aquaria.za.net
.net,google.net
.eu.org,best.eu.org
.za.org,csa.za.org
.org,google.org
.edu,harvard.edu
.gov,usa.gov
.int,who.int
.mil,defenselink.mil
.e164.arpa,0.0.1.8.e164.arpa
.in-addr.arpa,2.0.192.in-addr.arpa
.arpa,
.aero,ivao.aero
.asia,keepclicking.asia
.biz,google.biz
.cat,domini.cat
.coop,co-operative.coop
.info,google.info
.jobs,google.jobs
.mobi,google.mobi
.museum,about.museum
.name,pratham.name
.pro,registry.pro
.tel,google.tel
.travel,
.af,google.af
.ag,google.ag
.ai,gov.ai
.al,google.al
.am,google.am
.an,una.an
.ao,dns.ao
.aq,acap.aq
.ar,nic.ar
.as,google.as
.at,google.at
.au,google.com.au
.aw,setarnet.aw
.ax,regeringen.ax
.az,google.az
.ba,google.ba
.bb,barbados.bb
.bd,bangladesh.gov.bd
.be,google.be
.bf,onatel.bf
.bg,google.bg
.bh,inet.com.bh
.bi,google.bi
.bj,google.bj
.bm,gov.bm
.bn,brunet.bn
.bo,google.bo
.br,registro.br
.bs,google.bs
.bt,nic.bt
.bv,
.by,google.by
.bw,mascom.bw
.bz,belizenic.bz
.co.ca,whois.co.ca
.ca,cica.ca
.cc,favicon.cc
.cd,google.cd
.cf,socatel.cf
.cg,google.cg
.ch,google.ch
.ci,google.ci
.ck,oyster.net.ck
.cl,google.cl
.cm,intelcam.cm
.edu.cn,tsinghua.edu.cn
.cn,tsinghua.edu.cn
.uk.co,
.co,banrep.gov.co
.cr,tourism.co.cr
.cu,cubaweb.cu
.cv,governo.cv
.cx,analog.cx
.cy,cyprusweekly.com.cy
.cz,google.cz
.de,google.de
.dj,google.dj
.dk,google.dk
.dm,google.dm
.do,nic.do
.dz,google.dz
.ec,google.ec
.ee,google.ee
.eg,bibalex.gov.eg
.er,
.es,google.es
.et,aau.edu.et
.eu,europa.eu
.fi,google.fi
.fj,google.com.fj
.fk,epd.gov.fk
.fm,last.fm
.fo,portal.fo
.fr,google.fr
.ga,nic.ga
.gb,
.gd,google.gd
.ge,google.ge
.gf,google.gf
.gg,google.gg
.gh,google.com.gh
.gi,ajuntament.gi
.gl,google.gl
.gm,google.gm
.gn,
.gp,google.gp
.gq,
.gr,google.gr
.gs,sgisland.gs
.gt,www.gt
.gu,guamchamber.com.gu
.gw,register.gw
.gy,google.gy
.hk,google.hk"
.hm,google.hm
.hn,google.hn
.hr,google.hr
.ht,google.ht
.hu,google.hu
.id,pandi.or.id
.ie,google.ie
.il,isoc.org.il
.im,google.im
.in,google.in
.io,google.io
.iq,cmc.iq
.ir,nic.ir
.is,google.is
.it,google.it
.je,google.je
.jm,google.com.jm
.jo,google.jo
.jp,google.jp
.ke,google.co.ke
.kg,google.kg
.kh,dot.kn
.ki,google.ki
.km,domaine.km
.kn,dot.kn
.kp,kcce.kp
.kr,google.kr
.kw,kotc.com.kw
.ky,icta.ky
.kz,google.kz
.la,google.la
.lb,finance.gov.lb
.lc,nic.lc
.li,google.li
.lk,google.lk
.lr,micat.gov.lr
.ls,google.co.ls
.lt,google.lt
.lu,google.lu
.lv,google.lv
.ly,bit.ly
.ma,google.ma
.mc,rivieraradio.mc
.md,google.md
.me,google.me
.mg,google.mg
.mh,
.mk,airports.com.mk
.ml,sotelma.ml
.mm,
.mn,google.mn
.mo,umac.mo
.mp,laurel.mp
.mq,
.mr,nic.mr
.ms,google.ms
.mt,nic.org.mt
.mu,google.mu
.mv,google.mv
.mw,google.mw
.mx,google.com.mx
.my,mynic.net.my
